team,number,name
阪神タイガース,58,荒木　郁也
阪神タイガース,62,植田　海
阪神タイガース,5,近本　光司
阪神タイガース,7,糸井　嘉男
阪神タイガース,8,福留　孝介
阪神タイガース,9,髙山　俊
阪神タイガース,25,江越　大賀
阪神タイガース,32,井上　広大
阪神タイガース,51,伊藤　隼太
阪神タイガース,52,サンズ
阪神タイガース,53,島田　海吏
阪神タイガース,60,中谷　将大
阪神タイガース,63,板山　祐太郎
阪神タイガース,68,俊介
阪神タイガース,115,横山　雄哉
阪神タイガース,121,石井　将希
阪神タイガース,126,牧　丈一郎
阪神タイガース,125,藤谷　洸介
阪神タイガース,127,小野寺　暖
阪神タイガース,128,奥山　皓太
広島東洋カープ,12,九里　亜蓮
広島東洋カープ,13,矢崎　拓也
広島東洋カープ,14,大瀬良　大地
広島東洋カープ,16,今村　猛
広島東洋カープ,17,岡田　明丈
広島東洋カープ,18,森下　暢仁
広島東洋カープ,19,野村　祐輔
広島東洋カープ,21,中﨑　翔太
広島東洋カープ,23,薮田　和樹
広島東洋カープ,26,中田　廉
広島東洋カープ,28,床田　寛樹
広島東洋カープ,29,ケムナ　誠
広島東洋カープ,30,一岡　竜司
広島東洋カープ,34,高橋　昂也
広島東洋カープ,36,塹江　敦哉
広島東洋カープ,39,菊池　保則
広島東洋カープ,41,藤井　皓哉
広島東洋カープ,42,Ｋ．ジョンソン
広島東洋カープ,43,島内　颯太郎
広島東洋カープ,46,高橋　樹也
広島東洋カープ,47,山口　翔
広島東洋カープ,48,アドゥワ　誠
広島東洋カープ,52,鈴木　寛人
広島東洋カープ,53,戸田　隆矢
広島東洋カープ,57,田中　法彦
広島東洋カープ,58,ＤＪ．ジョンソン
広島東洋カープ,64,中村　恭平
広島東洋カープ,65,玉村　昇悟
広島東洋カープ,66,遠藤　淳志
広島東洋カープ,67,中村　祐太
広島東洋カープ,68,平岡　敬人
広島東洋カープ,70,スコット
広島東洋カープ,97,フランスア
広島東洋カープ,98,モンティージャ
広島東洋カープ,22,中村　奨成
広島東洋カープ,27,會澤　翼
広島東洋カープ,31,石原　慶幸
広島東洋カープ,32,白濱　裕太
広島東洋カープ,40,磯村　嘉孝
広島東洋カープ,61,坂倉　将吾
広島東洋カープ,62,石原　貴規
広島東洋カープ,00,曽根　海成
広島東洋カープ,0,上本　崇司
広島東洋カープ,2,田中　広輔
広島東洋カープ,4,小窪　哲也
広島東洋カープ,6,安部　友裕
広島東洋カープ,7,堂林　翔太
広島東洋カープ,33,菊池　涼介
広島東洋カープ,35,三好　匠
広島東洋カープ,44,林　晃汰
広島東洋カープ,45,桒原　樹
広島東洋カープ,51,小園　海斗
広島東洋カープ,54,韮澤　雄也
広島東洋カープ,56,中神　拓都
広島東洋カープ,63,西川　龍馬
広島東洋カープ,69,羽月　隆太郎
広島東洋カープ,96,メヒア
広島東洋カープ,1,鈴木　誠也
広島東洋カープ,5,長野　久義
広島東洋カープ,10,ピレラ
広島東洋カープ,37,野間　峻祥
広島東洋カープ,38,宇草　孔基
広島東洋カープ,49,正隨　優弥
広島東洋カープ,50,髙橋　大樹
広島東洋カープ,55,松山　竜平
広島東洋カープ,59,大盛　穂
広島東洋カープ,60,永井　敦士
広島東洋カープ,120,畝　章真
広島東洋カープ,121,藤井　黎來
広島東洋カープ,122,佐々木　健
広島東洋カープ,144,メナ
広島東洋カープ,123,持丸　泰輝
広島東洋カープ,124,木下　元秀
中日ドラゴンズ,11,小笠原　慎之介
中日ドラゴンズ,12,田島　慎二
中日ドラゴンズ,13,橋本　侑樹
中日ドラゴンズ,14,谷元　圭介
中日ドラゴンズ,16,又吉　克樹
中日ドラゴンズ,17,柳　裕也
中日ドラゴンズ,19,吉見　一起
中日ドラゴンズ,21,岡田　俊哉
中日ドラゴンズ,22,大野　雄大
中日ドラゴンズ,24,福谷　浩司
中日ドラゴンズ,25,佐藤　優
中日ドラゴンズ,28,梅津　晃大
中日ドラゴンズ,29,山井　大介
中日ドラゴンズ,30,阿知羅　拓馬
中日ドラゴンズ,33,祖父江　大輔
中日ドラゴンズ,34,福　敬登
中日ドラゴンズ,36,岡野　祐一郎
中日ドラゴンズ,38,松葉　貴大
中日ドラゴンズ,40,石川　翔
中日ドラゴンズ,41,勝野　昌慶
中日ドラゴンズ,43,三ツ間　卓也
中日ドラゴンズ,46,鈴木　博志
中日ドラゴンズ,47,笠原　祥太郎
中日ドラゴンズ,50,清水　達也
中日ドラゴンズ,53,ゴンサレス
中日ドラゴンズ,54,藤嶋　健人
中日ドラゴンズ,59,山本　拓実
中日ドラゴンズ,61,垣越　建伸
中日ドラゴンズ,62,竹内　龍臣
中日ドラゴンズ,64,小熊　凌祐
中日ドラゴンズ,65,伊藤　準規
中日ドラゴンズ,69,濱田　達郎
中日ドラゴンズ,70,ロメロ
中日ドラゴンズ,97,Ｒ．マルティネス
中日ドラゴンズ,98,木下　雄介
中日ドラゴンズ,99,鈴木　翔太
中日ドラゴンズ,27,大野　奨太
中日ドラゴンズ,35,木下　拓哉
中日ドラゴンズ,44,郡司　裕也
中日ドラゴンズ,52,加藤　匠馬
中日ドラゴンズ,58,石橋　康太
中日ドラゴンズ,68,桂　依央利
中日ドラゴンズ,0,髙松　渡
中日ドラゴンズ,1,京田　陽太
中日ドラゴンズ,2,石川　昂弥
中日ドラゴンズ,3,高橋　周平
中日ドラゴンズ,5,阿部　寿樹
中日ドラゴンズ,7,根尾　昂
中日ドラゴンズ,9,石川　駿
中日ドラゴンズ,32,石垣　雅海
中日ドラゴンズ,37,三ツ俣　大樹
中日ドラゴンズ,48,溝脇　隼人
中日ドラゴンズ,55,福田　永将
中日ドラゴンズ,63,堂上　直倫
中日ドラゴンズ,66,ビシエド
中日ドラゴンズ,4,藤井　淳志
中日ドラゴンズ,6,平田　良介
中日ドラゴンズ,8,大島　洋平
中日ドラゴンズ,23,遠藤　一星
中日ドラゴンズ,26,井領　雅貴
中日ドラゴンズ,31,渡辺　勝
中日ドラゴンズ,42,アルモンテ
中日ドラゴンズ,45,シエラ
中日ドラゴンズ,49,伊藤　康祐
中日ドラゴンズ,51,滝野　要
中日ドラゴンズ,56,武田　健吾
中日ドラゴンズ,60,岡林　勇希
中日ドラゴンズ,201,ブリトー
中日ドラゴンズ,202,浜田　智博
